City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,el granada,37.5027,-122.4694,18.11,92,100,3.09,US,1698028563
302,kapuskasing,49.4169,-82.4331,-1.0,93,20,1.54,CA,1698028563
303,vangaindrano,-23.35,47.6,22.21,91,67,1.8,MG,1698028563
304,tazacorte,28.629,-17.9293,20.54,52,0,3.09,ES,1698028564
305,la grande,45.3246,-118.0877,13.34,73,85,2.1,US,1698028438
306,zhaobaoshan,29.9695,121.6875,24.01,59,2,1.93,CN,1698028564
307,afif,23.9065,42.9172,20.46,32,0,4.52,SA,1698028564
308,west island,-12.1568,96.8225,26.99,69,75,4.63,CC,1698028436
309,veraval,20.9,70.3667,28.88,47,73,3.12,IN,1698028565
310,mvurwi,-17.0333,30.85,18.49,71,40,1.63,ZW,1698028565
311,chernyshevskiy,63.0128,112.4714,-2.13,93,100,4.66,RU,1698028565
312,kuta,-8.7233,115.1723,28.97,88,40,3.6,ID,1698028565
313,puerto leguizamo,-0.1934,-74.7819,22.76,97,100,1.03,CO,1698028566
314,ariquemes,-9.9133,-63.0408,27.84,44,100,1.29,BR,1698028566
315,georgetown,5.4112,100.3354,29.41,75,20,2.68,MY,1698028566
316,talara,-4.5772,-81.2719,21.42,83,0,6.69,PE,1698028566
317,mogocha,53.7333,119.7667,4.08,47,100,2.34,RU,1698028522
318,shuangjiang,26.1547,109.7138,23.79,50,0,0.54,CN,1698028567
319,playa del ingles,27.7567,-15.5787,21.33,82,1,3.45,ES,1698028269
320,inyonga,-6.7167,32.0667,20.3,42,29,1.34,TZ,1698028567
321,hotan,37.0997,79.9269,15.49,17,4,1.69,CN,1698028567
322,kismayo,-0.3582,42.5454,26.07,82,6,3.23,SO,1698028568
323,okakarara,-20.5833,17.4333,15.87,25,0,3.0,NA,1698028568
324,parkano,62.0167,23.0167,0.45,99,100,1.59,FI,1698028568
325,lihue,21.9789,-159.3672,28.53,70,20,5.14,US,1698028568
326,palmer,42.1584,-72.3287,7.75,72,20,3.6,US,1698028483
327,kristiansund,63.1115,7.732,7.36,70,100,1.03,NO,1698028569
328,jacobina,-11.1806,-40.5183,20.66,80,10,3.01,BR,1698028569
329,maitum,6.0392,124.4986,29.53,68,73,1.94,PH,1698028569
330,menongue,-14.6585,17.691,20.95,57,100,2.34,AO,1698028569
331,sao gabriel da cachoeira,-0.1303,-67.0892,23.4,96,96,1.2,BR,1698028570
332,valky,49.8387,35.6207,12.17,94,81,4.26,UA,1698028570
333,highland springs,37.546,-77.3278,12.16,66,0,4.12,US,1698028570
334,dar chioukh,34.8964,3.4854,16.01,31,0,4.44,DZ,1698028570
335,remire-montjoly,4.9167,-52.2667,28.02,89,75,0.51,GF,1698028570
336,tura,25.5198,90.2201,24.79,72,100,0.78,IN,1698028571
337,la ronge,55.1001,-105.2842,-1.86,59,75,3.6,CA,1698028571
338,qingdao,36.0986,120.3719,20.78,30,0,4.0,CN,1698028571
339,singkil,-7.9855,111.4161,34.55,37,17,0.6,ID,1698028571
340,ta'izz,13.5,44.0,19.33,65,63,2.22,YE,1698028571
